Vehicle Type;Brand;Direction;Channel No.;Capture Time;Lane No.;Data Type;Violation Type
SUV/MPV;Peugeot-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
SUV/MPV;Others-other;Two-way;1;07.03.2025 15:47;1;Checkpoint Data;Normal
SUV/MPV;Volkswagen-other;Two-way;1;2025-03-07 15:48:02.086;1;Checkpoint Data;Normal
Car;Opel-other;Two-way;1;07.03.2025 15:48;1;Checkpoint Data;Normal
SUV/MPV;Suzuki-other;Two-way;1;07.03.2025 15:48;1;Checkpoint Data;Normal
Car;Volkswagen-other;Two-way;1;07.03.2025 15:48;1;Checkpoint Data;Normal
Car;Peugeot-other;Two-way;1;07.03.2025 15:48;1;Checkpoint Data;Normal
SUV/MPV;Toyota-other;Two-way;1;07.03.2025 15:48;1;Checkpoint Data;Normal
Car;Skoda-other;Two-way;1;07.03.2025 15:48;1;Checkpoint Data;Normal
Car;Volkswagen-other;Two-way;1;2025-03-07 15:48:55.006;1;Checkpoint Data;Normal
Car;Citroen-other;Two-way;1;07.03.2025 15:48;1;Checkpoint Data;Normal
SUV/MPV;Audi-other;Two-way;1;07.03.2025 15:49;1;Checkpoint Data;Normal
Car;Buick-other;Two-way;1;07.03.2025 15:49;1;Checkpoint Data;Normal
SUV/MPV;KIA-other;Two-way;1;07.03.2025 15:49;1;Checkpoint Data;Normal
SUV/MPV;KIA-other;Two-way;1;07.03.2025 15:49;1;Checkpoint Data;Normal
SUV/MPV;KIA-other;Two-way;1;07.03.2025 15:49;1;Checkpoint Data;Normal
Minivan;Benz-other;Two-way;1;2025-03-07 15:49:53.086;1;Checkpoint Data;Normal
SUV/MPV;Toyota-other;Two-way;1;07.03.2025 15:51;1;Checkpoint Data;Normal
SUV/MPV;Toyota-other;Two-way;1;07.03.2025 15:51;1;Checkpoint Data;Normal
SUV/MPV;Jeep-other;Two-way;1;07.03.2025 15:51;1;Checkpoint Data;Normal
Large-Sized Bus;Audi-other;Two-way;1;2025-03-07 15:51:51.040;1;Checkpoint Data;Normal
Car;Citroen-other;Two-way;1;07.03.2025 14:52;1;Checkpoint Data;Normal
